id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2
565,565,finanse,финансы,noun,Pojęcie „budżet” często pojawia się w codziennym życiu w Polsce.,Понятие «бюджет» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „budżet”, bo jest praktyczne.","Стоит хорошо понимать слово «бюджет», потому что оно практичное."
566,566,import,импорт,noun,Pojęcie „koszt” często pojawia się w codziennym życiu w Polsce.,Понятие «затраты» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „koszt”, bo jest praktyczne.","Стоит хорошо понимать слово «затраты», потому что оно практичное."
567,567,obrót,оборот,noun,Pojęcie „przychód” często pojawia się w codziennym życiu w Polsce.,Понятие «доход компании» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przychód”, bo jest praktyczne.","Стоит хорошо понимать слово «доход компании», потому что оно практичное."
568,568,zysk,прибыль,noun,Pojęcie „zysk” często pojawia się w codziennym życiu w Polsce.,Понятие «прибыль» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „zysk”, bo jest praktyczne.","Стоит хорошо понимать слово «прибыль», потому что оно практичное."
569,569,strata,убыток,noun,Pojęcie „strata” często pojawia się w codziennym życiu w Polsce.,Понятие «убыток» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „strata”, bo jest praktyczne.","Стоит хорошо понимать слово «убыток», потому что оно практичное."
570,570,inwestycja,инвестиция,noun,Pojęcie „inwestycja” często pojawia się w codziennym życiu w Polsce.,Понятие «инвестиция» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „inwestycja”, bo jest praktyczne.","Стоит хорошо понимать слово «инвестиция», потому что оно практичное."
571,571,dochodowość,рентабельность,noun,Pojęcie „konkurencja” często pojawia się w codziennym życiu w Polsce.,Понятие «конкуренция» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „konkurencja”, bo jest praktyczne.","Стоит хорошо понимать слово «конкуренция», потому что оно практичное."
572,572,rynek,рынок,noun,Pojęcie „rynek” często pojawia się w codziennym życiu w Polsce.,Понятие «рынок» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „rynek”, bo jest praktyczne.","Стоит хорошо понимать слово «рынок», потому что оно практичное."
573,573,klient biznesowy,бизнес-клиент,noun,Pojęcie „klient biznesowy” często pojawia się w codziennym życiu w Polsce.,Понятие «бизнес-клиент» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „klient biznesowy”, bo jest praktyczne.","Стоит хорошо понимать слово «бизнес-клиент», потому что оно практичное."
574,574,oferta,предложение,noun,Pojęcie „oferta” często pojawia się w codziennym życiu w Polsce.,Понятие «предложение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „oferta”, bo jest praktyczne.","Стоит хорошо понимать слово «предложение», потому что оно практичное."
575,575,umowa współpracy,договор о сотрудничестве,noun,Pojęcie „umowa współpracy” często pojawia się w codziennym życiu w Polsce.,Понятие «договор о сотрудничестве» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „umowa współpracy”, bo jest praktyczne.","Стоит хорошо понимать слово «договор о сотрудничестве», потому что оно практичное."
576,576,sprzedaż,продажи,noun,Pojęcie „negocjacje” często pojawia się w codziennym życiu w Polsce.,Понятие «переговоры» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „negocjacje”, bo jest praktyczne.","Стоит хорошо понимать слово «переговоры», потому что оно практичное."
577,577,regulamin,регламент,noun,Pojęcie „warunek” często pojawia się w codziennym życiu w Polsce.,Понятие «условие» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „warunek”, bo jest praktyczne.","Стоит хорошо понимать слово «условие», потому что оно практичное."
578,578,termin płatności,срок оплаты,noun,Pojęcie „termin płatności” często pojawia się w codziennym życiu w Polsce.,Понятие «срок оплаты» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „termin płatności”, bo jest praktyczne.","Стоит хорошо понимать слово «срок оплаты», потому что оно практичное."
579,579,rozliczenie podatkowe,налоговая декларация,noun,Pojęcie „faktura” często pojawia się w codziennym życiu w Polsce.,Понятие «счёт-фактура» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „faktura”, bo jest praktyczne.","Стоит хорошо понимать слово «счёт-фактура», потому что оно практичное."
580,580,operacja bankowa,банковская операция,noun,Pojęcie „płatność” często pojawia się w codziennym życiu w Polsce.,Понятие «платёж» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „płatność”, bo jest praktyczne.","Стоит хорошо понимать слово «платёж», потому что оно практичное."
581,581,bank,банк,noun,Pojęcie „bank” często pojawia się w codziennym życiu w Polsce.,Понятие «банк» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „bank”, bo jest praktyczne.","Стоит хорошо понимать слово «банк», потому что оно практичное."
582,582,konto bankowe,банковский счёт,noun,Pojęcie „konto bankowe” często pojawia się w codziennym życiu w Polsce.,Понятие «банковский счёт» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „konto bankowe”, bo jest praktyczne.","Стоит хорошо понимать слово «банковский счёт», потому что оно практичное."
583,583,koszty,затраты,noun,Pojęcie „przelew” często pojawia się w codziennym życiu w Polsce.,Понятие «банковский перевод» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przelew”, bo jest praktyczne.","Стоит хорошо понимать слово «банковский перевод», потому что оно практичное."
584,584,saldo,баланс,noun,Pojęcie „saldo” często pojawia się w codziennym życiu w Polsce.,Понятие «баланс» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „saldo”, bo jest praktyczne.","Стоит хорошо понимать слово «баланс», потому что оно практичное."
585,585,oszczędności,сбережения,noun,Pojęcie „oszczędności” często pojawia się w codziennym życiu w Polsce.,Понятие «сбережения» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „oszczędności”, bo jest praktyczne.","Стоит хорошо понимать слово «сбережения», потому что оно практичное."
586,586,zarobek,заработок,noun,Pojęcie „wydatek” często pojawia się w codziennym życiu w Polsce.,Понятие «расход» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wydatek”, bo jest praktyczne.","Стоит хорошо понимать слово «расход», потому что оно практичное."
587,587,hipoteczny,ипотечный,noun,Pojęcie „dochód” często pojawia się w codziennym życiu w Polsce.,Понятие «доход» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „dochód”, bo jest praktyczne.","Стоит хорошо понимать слово «доход», потому что оно практичное."
588,588,budżet domowy,семейный бюджет,noun,Pojęcie „budżet domowy” często pojawia się w codziennym życiu w Polsce.,Понятие «семейный бюджет» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „budżet domowy”, bo jest praktyczne.","Стоит хорошо понимать слово «семейный бюджет», потому что оно практичное."
589,589,kapitał,капитал,noun,Pojęcie „kredyt” często pojawia się w codziennym życiu w Polsce.,Понятие «кредит» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „kredyt”, bo jest praktyczne.","Стоит хорошо понимать слово «кредит», потому что оно практичное."
590,590,kredyt hipoteczny,ипотека,noun,Pojęcie „kredyt hipoteczny” często pojawia się w codziennym życiu w Polsce.,Понятие «ипотека» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „kredyt hipoteczny”, bo jest praktyczne.","Стоит хорошо понимать слово «ипотека», потому что оно практичное."
591,591,marża,маржа,noun,Pojęcie „rata” często pojawia się w codziennym życiu w Polsce.,Понятие «платёж по кредиту» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „rata”, bo jest praktyczne.","Стоит хорошо понимать слово «платёж по кредиту», потому что оно практичное."
592,592,VAT,НДС,noun,Pojęcie „oprocentowanie” często pojawia się w codziennym życiu w Polsce.,Понятие «процентная ставка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „oprocentowanie”, bo jest praktyczne.","Стоит хорошо понимать слово «процентная ставка», потому что оно практичное."
593,593,księgowość,бухгалтерия,noun,Pojęcie „zdolność kredytowa” często pojawia się w codziennym życiu w Polsce.,Понятие «кредитоспособность» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „zdolność kredytowa”, bo jest praktyczne.","Стоит хорошо понимать слово «кредитоспособность», потому что оно практичное."
594,594,dług,долг,noun,Pojęcie „dług” często pojawia się w codziennym życiu w Polsce.,Понятие «долг» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „dług”, bo jest praktyczne.","Стоит хорошо понимать слово «долг», потому что оно практичное."
595,595,spłacać,"выплачивать, погашать",verb,Warto umieć poprawnie używać wyrażenia „spłacać” w rozmowie.,Стоит уметь правильно использовать выражение «выплачивать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
596,596,zakład,предприятие,noun,Pojęcie „podatek” często pojawia się w codziennym życiu w Polsce.,Понятие «налог» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „podatek”, bo jest praktyczne.","Стоит хорошо понимать слово «налог», потому что оно практичное."
597,597,znaczenie,значение,noun,Pojęcie „urząd skarbowy” często pojawia się w codziennym życiu w Polsce.,Понятие «налоговая инспекция» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „urząd skarbowy”, bo jest praktyczne.","Стоит хорошо понимать слово «налоговая инспекция», потому что оно практичное."
598,598,oddział,филиал,noun,Pojęcie „rozliczenie podatkowe” często pojawia się w codziennym życiu w Polsce.,Понятие «налоговая декларация» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „rozliczenie podatkowe”, bo jest praktyczne.","Стоит хорошо понимать слово «налоговая декларация», потому что оно практичное."
599,599,nastawienie,настрой,noun,Pojęcie „ubezpieczenie” często pojawia się w codziennym życiu w Polsce.,Понятие «страхование» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „ubezpieczenie”, bo jest praktyczne.","Стоит хорошо понимать слово «страхование», потому что оно практичное."
600,600,majątek,имущество,noun,Pojęcie „majątek” często pojawia się w codziennym życiu w Polsce.,Понятие «имущество» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „majątek”, bo jest praktyczne.","Стоит хорошо понимать слово «имущество», потому что оно практичное."
601,601,społeczeństwo,общество,noun,Pojęcie „społeczeństwo” często pojawia się w codziennym życiu w Polsce.,Понятие «общество» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „społeczeństwo”, bo jest praktyczne.","Стоит хорошо понимать слово «общество», потому что оно практичное."
602,602,obyczaj,обычай,noun,Pojęcie „obyczaj” często pojawia się w codziennym życiu w Polsce.,Понятие «обычай» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „obyczaj”, bo jest praktyczne.","Стоит хорошо понимать слово «обычай», потому что оно практичное."
603,603,tradycja,традиция,noun,Pojęcie „tradycja” często pojawia się w codziennym życiu w Polsce.,Понятие «традиция» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „tradycja”, bo jest praktyczne.","Стоит хорошо понимать слово «традиция», потому что оно практичное."
604,604,kultura,культура,noun,Pojęcie „kultura” często pojawia się w codziennym życiu w Polsce.,Понятие «культура» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „kultura”, bo jest praktyczne.","Стоит хорошо понимать слово «культура», потому что оно практичное."
605,605,oddziaływanie,воздействие,noun,Pojęcie „wartość” często pojawia się w codziennym życiu w Polsce.,Понятие «ценность» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wartość”, bo jest praktyczne.","Стоит хорошо понимать слово «ценность», потому что оно практичное."
606,606,doskonalić się,совершенствоваться,noun,Pojęcie „zachowanie” często pojawia się w codziennym życiu w Polsce.,Понятие «поведение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „zachowanie”, bo jest praktyczne.","Стоит хорошо понимать слово «поведение», потому что оно практичное."
607,607,postawa,"позиция, отношение",noun,Pojęcie „postawa” często pojawia się w codziennym życiu w Polsce.,Понятие «позиция» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „postawa”, bo jest praktyczne.","Стоит хорошо понимать слово «позиция», потому что оно практичное."
608,608,odnosić się,относиться,noun,Pojęcie „wpływ” często pojawia się w codziennym życiu w Polsce.,Понятие «влияние» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wpływ”, bo jest praktyczne.","Стоит хорошо понимать слово «влияние», потому что оно практичное."
609,609,delegacja,командировка,noun,Pojęcie „znaczenie” często pojawia się w codziennym życiu w Polsce.,Понятие «значение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „znaczenie”, bo jest praktyczne.","Стоит хорошо понимать слово «значение», потому что оно практичное."
610,610,świadomość,"осознанность, осведомлённость",noun,Pojęcie „świadomość” często pojawia się w codziennym życiu w Polsce.,Понятие «осознанность» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „świadomość”, bo jest praktyczne.","Стоит хорошо понимать слово «осознанность», потому что оно практичное."
611,611,zawierać,содержать,verb,Warto umieć poprawnie używać wyrażenia „rozwijać się” w rozmowie.,Стоит уметь правильно использовать выражение «развиваться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
612,612,poprawiać się,улучшаться,verb,Warto umieć poprawnie używać wyrażenia „poprawiać się” w rozmowie.,Стоит уметь правильно использовать выражение «улучшаться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
613,613,pogarszać się,ухудшаться,verb,Warto umieć poprawnie używać wyrażenia „pogarszać się” w rozmowie.,Стоит уметь правильно использовать выражение «ухудшаться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
614,614,zmieniać się,меняться,verb,Warto umieć poprawnie używać wyrażenia „zmieniać się” w rozmowie.,Стоит уметь правильно использовать выражение «меняться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
615,615,zależeć od,зависеть от,verb,Warto umieć poprawnie używać wyrażenia „zależeć od” w rozmowie.,Стоит уметь правильно использовать выражение «зависеть от» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
616,616,sukces,успех,verb,Warto umieć poprawnie używać wyrażenia „dotyczyć” w rozmowie.,Стоит уметь правильно использовать выражение «касаться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
617,617,reakcja,реакция,verb,Warto umieć poprawnie używać wyrażenia „obejmować” w rozmowie.,Стоит уметь правильно использовать выражение «охватывать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
618,618,polegać na,заключаться в,verb,Warto umieć poprawnie używać wyrażenia „polegać na” w rozmowie.,Стоит уметь правильно использовать выражение «заключаться в» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
619,619,wynikać z,следовать из,verb,Warto umieć poprawnie używać wyrażenia „wynikać z” w rozmowie.,Стоит уметь правильно использовать выражение «следовать из» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
620,620,prowadzić do,приводить к,verb,Warto umieć poprawnie używać wyrażenia „prowadzić do” w rozmowie.,Стоит уметь правильно использовать выражение «приводить к» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
621,621,wyjście,выход,noun,Pojęcie „osiągnięcie” często pojawia się w codziennym życiu w Polsce.,Понятие «достижение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „osiągnięcie”, bo jest praktyczne.","Стоит хорошо понимать слово «достижение», потому что оно практичное."
622,622,kontrakt,контракт,noun,Pojęcie „sukces” często pojawia się w codziennym życiu w Polsce.,Понятие «успех» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „sukces”, bo jest praktyczne.","Стоит хорошо понимать слово «успех», потому что оно практичное."
623,623,porażka,неудача,noun,Pojęcie „porażka” często pojawia się w codziennym życiu w Polsce.,Понятие «неудача» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „porażka”, bo jest praktyczne.","Стоит хорошо понимать слово «неудача», потому что оно практичное."
624,624,wyzwanie,вызов,noun,Pojęcie „wyzwanie” często pojawia się w codziennym życiu w Polsce.,Понятие «вызов» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wyzwanie”, bo jest praktyczne.","Стоит хорошо понимать слово «вызов», потому что оно практичное."
625,625,teza,тезис,noun,Pojęcie „odpowiedź” często pojawia się w codziennym życiu w Polsce.,Понятие «ответ» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „odpowiedź”, bo jest praktyczne.","Стоит хорошо понимать слово «ответ», потому что оно практичное."
626,626,uzasadnienie,обоснование,noun,Pojęcie „rozwiązanie” często pojawia się w codziennym życiu w Polsce.,Понятие «решение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „rozwiązanie”, bo jest praktyczne.","Стоит хорошо понимать слово «решение», потому что оно практичное."
627,627,szacować,оценивать,noun,Pojęcie „argument” często pojawia się w codziennym życiu w Polsce.,Понятие «аргумент» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „argument”, bo jest praktyczne.","Стоит хорошо понимать слово «аргумент», потому что оно практичное."
628,628,wspólnik,партнер по бизнесу,noun,Pojęcie „dowód” często pojawia się w codziennym życiu w Polsce.,Понятие «доказательство» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „dowód”, bo jest praktyczne.","Стоит хорошо понимать слово «доказательство», потому что оно практичное."
629,629,przykład,пример,noun,Pojęcie „przykład” często pojawia się w codziennym życiu w Polsce.,Понятие «пример» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przykład”, bo jest praktyczne.","Стоит хорошо понимать слово «пример», потому что оно практичное."
630,630,odrzucenie,отклонение,noun,Pojęcie „wniosek” często pojawia się w codziennym życiu w Polsce.,Понятие «вывод» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wniosek”, bo jest praktyczne.","Стоит хорошо понимать слово «вывод», потому что оно практичное."
631,631,namówić,уговорить,verb,Warto umieć poprawnie używać wyrażenia „oceniać” w rozmowie.,Стоит уметь правильно использовать выражение «оценивать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
632,632,punkt widzenia,точка зрения,verb,Warto umieć poprawnie używać wyrażenia „porównywać” w rozmowie.,Стоит уметь правильно использовать выражение «сравнивать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
633,633,analizować,анализировать,verb,Warto umieć poprawnie używać wyrażenia „analizować” w rozmowie.,Стоит уметь правильно использовать выражение «анализировать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
634,634,rozumieć,понимать,verb,Warto umieć poprawnie używać wyrażenia „rozumieć” w rozmowie.,Стоит уметь правильно использовать выражение «понимать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
635,635,wyjaśniać,объяснять,verb,Warto umieć poprawnie używać wyrażenia „wyjaśniać” w rozmowie.,Стоит уметь правильно использовать выражение «объяснять» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
636,636,potencjał,потенциал,verb,Warto umieć poprawnie używać wyrażenia „udowodnić” w rozmowie.,Стоит уметь правильно использовать выражение «доказать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
637,637,zaakceptować,принять,verb,Warto umieć poprawnie używać wyrażenia „zaakceptować” w rozmowie.,Стоит уметь правильно использовать выражение «принять» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
638,638,kryterium,критерий,verb,Warto umieć poprawnie używać wyrażenia „odrzucić” w rozmowie.,Стоит уметь правильно использовать выражение «отклонить» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
639,639,zarządzanie,управление,verb,Warto umieć poprawnie używać wyrażenia „przekonać” w rozmowie.,Стоит уметь правильно использовать выражение «убедить» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
640,640,wątpić,сомневаться,verb,Warto umieć poprawnie używać wyrażenia „wątpić” w rozmowie.,Стоит уметь правильно использовать выражение «сомневаться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
641,641,opinia publiczna,общественное мнение,noun,Pojęcie „opinia publiczna” często pojawia się w codziennym życiu w Polsce.,Понятие «общественное мнение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „opinia publiczna”, bo jest praktyczne.","Стоит хорошо понимать слово «общественное мнение», потому что оно практичное."
642,642,debata,дебаты,noun,Pojęcie „debata” często pojawia się w codziennym życiu w Polsce.,Понятие «дебаты» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „debata”, bo jest praktyczne.","Стоит хорошо понимать слово «дебаты», потому что оно практичное."
643,643,temat,тема,noun,Pojęcie „temat” często pojawia się w codziennym życiu w Polsce.,Понятие «тема» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „temat”, bo jest praktyczne.","Стоит хорошо понимать слово «тема», потому что оно практичное."
644,644,uprawnienie,"полномочие, право",noun,Pojęcie „punkt widzenia” często pojawia się w codziennym życiu w Polsce.,Понятие «точка зрения» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „punkt widzenia”, bo jest praktyczne.","Стоит хорошо понимать слово «точка зрения», потому что оно практичное."
645,645,wymóg formalny,формальное требование,noun,Pojęcie „perspektywa” często pojawia się w codziennym życiu w Polsce.,Понятие «перспектива» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „perspektywa”, bo jest praktyczne.","Стоит хорошо понимать слово «перспектива», потому что оно практичное."
646,646,rola,роль,noun,Pojęcie „rola” często pojawia się w codziennym życiu w Polsce.,Понятие «роль» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „rola”, bo jest praktyczne.","Стоит хорошо понимать слово «роль», потому что оно практичное."
647,647,odpowiedzialność społeczna,социальная ответственность,noun,Pojęcie „odpowiedzialność społeczna” często pojawia się w codziennym życiu w Polsce.,Понятие «социальная ответственность» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „odpowiedzialność społeczna”, bo jest praktyczne.","Стоит хорошо понимать слово «социальная ответственность», потому что оно практичное."
648,648,środowisko naturalne,окружающая среда,noun,Pojęcie „środowisko naturalne” często pojawia się w codziennym życiu w Polsce.,Понятие «окружающая среда» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „środowisko naturalne”, bo jest praktyczne.","Стоит хорошо понимать слово «окружающая среда», потому что оно практичное."
649,649,ekologia,экология,noun,Pojęcie „ekologia” często pojawia się w codziennym życiu w Polsce.,Понятие «экология» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „ekologia”, bo jest praktyczne.","Стоит хорошо понимать слово «экология», потому что оно практичное."
650,650,ochrona środowiska,охрана окружающей среды,noun,Pojęcie „ochrona środowiska” często pojawia się w codziennym życiu w Polsce.,Понятие «охрана окружающей среды» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „ochrona środowiska”, bo jest praktyczne.","Стоит хорошо понимать слово «охрана окружающей среды», потому что оно практичное."
651,651,mieszkać,проживать,verb,Warto umieć poprawnie używać wyrażenia „mieszkać” w rozmowie.,Стоит уметь правильно использовать выражение «проживать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
652,652,przenosić się,переезжать,verb,Warto umieć poprawnie używać wyrażenia „przenosić się” w rozmowie.,Стоит уметь правильно использовать выражение «переезжать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
653,653,uczestniczyć,участвовать,verb,Warto umieć poprawnie używać wyrażenia „uczestniczyć” w rozmowie.,Стоит уметь правильно использовать выражение «участвовать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
654,654,angażować się,вовлекаться,verb,Warto umieć poprawnie używać wyrażenia „angażować się” w rozmowie.,Стоит уметь правильно использовать выражение «вовлекаться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
655,655,wspierać,поддерживать,verb,Warto umieć poprawnie używać wyrażenia „wspierać” w rozmowie.,Стоит уметь правильно использовать выражение «поддерживать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
656,656,szanować,уважать,verb,Warto umieć poprawnie używać wyrażenia „szanować” w rozmowie.,Стоит уметь правильно использовать выражение «уважать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
657,657,doceniać,ценить,verb,Warto umieć poprawnie używać wyrażenia „doceniać” w rozmowie.,Стоит уметь правильно использовать выражение «ценить» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
658,658,wpływać na,влиять на,verb,Warto umieć poprawnie używać wyrażenia „wpływać na” w rozmowie.,Стоит уметь правильно использовать выражение «влиять на» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
659,659,reagować,реагировать,verb,Warto umieć poprawnie używać wyrażenia „reagować” w rozmowie.,Стоит уметь правильно использовать выражение «реагировать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
660,660,dostosować się,адаптироваться,verb,Warto umieć poprawnie używać wyrażenia „dostosować się” w rozmowie.,Стоит уметь правильно использовать выражение «адаптироваться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
