id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2,ukrainian,example_ukrainian_1,example_ukrainian_2
464,464,winda,лифт,noun,"Winda jest zepsuta, musimy iść schodami.","Лифт сломан, нам придется идти по лестнице.","Poczekajmy na windę, nie chcę wchodzić na ósme piętro pieszo.","Давайте подождем лифт, я не хочу подниматься на восьмой этаж пешком.",ліфт,"Ліфт зламаний, нам доведеться йти сходами.","Давайте почекаємо на ліфт, я не хочу підніматися на восьмий поверх пішки."
465,465,schody,лестница,noun,"Te schody są bardzo strome, proszę uważać.","Эта лестница очень крутая, будьте осторожны.","Wolałbym iść schodami, to dobry trening.","Я бы предпочел пойти по лестнице, это хорошая тренировка.",сходи,"Ці сходи дуже круті, будь ласка, будьте обережні.","Я б віддав перевагу піти сходами, це гарне тренування."
466,466,drzwi,дверь,noun,"Proszę zamknąć drzwi, jest zimno.","Пожалуйста, закройте дверь, холодно.",Główne drzwi do budynku są otwarte od 8:00 do 18:00.,Главная дверь в здание открыта с 8:00 до 18:00.,двері,"Будь ласка, зачиніть двері, холодно.",Головні двері до будівлі відчинені з 8:00 до 18:00.
467,467,okno,окно,noun,"Proszę otworzyć okno, jest duszno.","Пожалуйста, откройте окно, душно.",Moje mieszkanie ma duże okna z widokiem na park.,Моя квартира имеет большие окна с видом на парк.,вікно,"Будь ласка, відчиніть вікно, душно.",Моя квартира має великі вікна з видом на парк.
468,468,balkon,балкон,noun,Czy to mieszkanie ma balkon?,Эта квартира имеет балкон?,Lubię pić kawę na balkonie rano.,Я люблю пить кофе на балконе утром.,балкон,Ця квартира має балкон?,Я люблю пити каву на балконі вранці.
469,469,ogrzewanie,отопление,noun,W cenie wynajmu jest ogrzewanie i woda.,В стоимость аренды включено отопление и вода.,Czy ogrzewanie działa prawidłowo w tym pokoju?,Отопление работает правильно в этой комнате?,опалення,У вартість оренди включено опалення та вода.,Опалення працює правильно в цій кімнаті?
470,470,prąd,электричество,noun,Zapomniałem zapłacić rachunek za prąd.,Я забыл заплатить счет за электричество.,Czy jest prąd w gniazdku?,Есть ли электричество в розетке?,електрика,Я забув заплатити рахунок за електрику.,Чи є електрика в розетці?
471,471,internet,интернет,noun,Potrzebuję internetu do pracy zdalnej.,Мне нужен интернет для удаленной работы.,Jaki jest koszt internetu w tym pakiecie?,Какова стоимость интернета в этом пакете?,інтернет,Мені потрібен інтернет для віддаленої роботи.,Яка вартість інтернету в цьому пакеті?
472,472,sieć,сеть,noun,Czy w tym mieszkaniu jest dostęp do szybkiej sieci internetowej?,Есть ли в этой квартире доступ к быстрой интернет-сети?,"Musimy sprawdzić, czy nasza sieć elektryczna wytrzyma nowe urządzenia.","Нам нужно проверить, выдержит ли наша электрическая сеть новые устройства.",мережа,Чи є в цій квартирі доступ до швидкої інтернет-мережі?,"Нам потрібно перевірити, чи витримає наша електрична мережа нові пристрої."
473,473,hasło,пароль,noun,Zapomniałem hasła do mojego konta bankowego online.,Я забыл пароль к моему онлайн-банковскому счёту.,"Proszę utworzyć silne hasło, które zawiera litery i cyfry.","Пожалуйста, создайте надёжный пароль, который содержит буквы и цифры.",пароль,Я забув пароль до свого онлайн-банківського рахунку.,"Будь ласка, створіть надійний пароль, який містить літери та цифри."
474,474,użytkownik,пользователь,noun,Każdy nowy użytkownik musi zaakceptować regulamin serwisu.,Каждый новый пользователь должен принять правила сервиса.,Czy jesteś zarejestrowanym użytkownikiem tej biblioteki?,Вы зарегистрированный пользователь этой библиотеки?,користувач,Кожен новий користувач повинен прийняти правила сервісу.,Ви зареєстрований користувач цієї бібліотеки?
475,475,konto,"аккаунт, счёт",noun,Chciałbym otworzyć konto bankowe w państwa banku.,Я хотел бы открыть банковский счёт в вашем банке.,"Sprawdź swoje konto e-mail, czy nie ma tam ważnych wiadomości.","Проверьте свой аккаунт электронной почты, нет ли там важных сообщений.",обліковий запис,Я хотів би відкрити банківський рахунок у вашому банку.,"Перевірте свій обліковий запис електронної пошти, чи немає там важливих повідомлень."
476,476,logować się,входить в систему,verb,"Aby złożyć wniosek online, musisz najpierw zalogować się do systemu.","Чтобы подать заявку онлайн, вы должны сначала войти в систему.","Nie mogę zalogować się na swoje konto, chyba mam zły login.","Я не могу войти в свой аккаунт, кажется, у меня неправильный логин.",входити в систему,"Щоб подати заявку онлайн, ви повинні спочатку увійти в систему.","Я не можу увійти до свого облікового запису, здається, у мене неправильний логін."
477,477,pobierać,скачивать,verb,Proszę pobrać ten formularz ze strony internetowej urzędu.,"Пожалуйста, скачайте эту форму с веб-сайта учреждения.",Zawsze pobieram pliki tylko z zaufanych źródeł.,Я всегда скачиваю файлы только из надежных источников.,завантажувати,"Будь ласка, завантажте цю форму з веб-сайту установи.",Я завжди завантажую файли лише з надійних джерел.
478,478,aktualizacja,обновление,noun,Ważna aktualizacja systemu operacyjnego jest dostępna.,Доступно важное обновление операционной системы.,Musimy wprowadzić aktualizację danych klienta w systemie.,Нам нужно внести обновление данных клиента в систему.,оновлення,Доступне важливе оновлення операційної системи.,Нам потрібно внести оновлення даних клієнта в систему.
479,479,urządzenie,устройство,noun,To nowe urządzenie znacznie ułatwia pracę w kuchni.,Это новое устройство значительно облегчает работу на кухне.,Wszystkie urządzenia w biurze muszą być regularnie serwisowane.,Все устройства в офисе должны регулярно обслуживаться.,пристрій,Цей новий пристрій значно полегшує роботу на кухні.,Усі пристрої в офісі повинні регулярно обслуговуватися.
480,480,awaria techniczna,техническая неисправность,noun,Z powodu awarii technicznej pociąg ma opóźnienie.,Из-за технической неисправности поезд опаздывает.,"Mamy awarię techniczną drukarki, proszę zgłosić to do serwisu.","У нас техническая неисправность принтера, пожалуйста, сообщите об этом в сервис.",технічна несправність,Через технічну несправність потяг запізнюється.,"У нас технічна несправність принтера, будь ласка, повідомте про це в сервіс."
481,481,telefon komórkowy,мобильный телефон,noun,Zapomniałem telefonu komórkowego i nie mogę zadzwonić.,Я забыл мобильный телефон и не могу позвонить.,Proszę podać swój numer telefonu komórkowego w formularzu.,"Пожалуйста, укажите свой номер мобильного телефона в форме.",мобільний телефон,Я забув мобільний телефон і не можу зателефонувати.,"Будь ласка, вкажіть свій номер мобільного телефону у формі."
482,482,ładowarka,зарядное устройство,noun,"Zapomniałem ładowarki do telefonu, czy mogę pożyczyć?","Я забыл зарядное устройство для телефона, могу ли я одолжить?","Ta ładowarka jest uniwersalna, pasuje do wielu modeli.","Это зарядное устройство универсальное, подходит ко многим моделям.",зарядний пристрій,"Я забув зарядний пристрій для телефону, чи можу я позичити?","Цей зарядний пристрій універсальний, підходить до багатьох моделей."
483,483,bateria,батарея,noun,Bateria w moim laptopie szybko się rozładowuje.,Батарея в моем ноутбуке быстро разряжается.,Muszę kupić nowe baterie do pilota od telewizora.,Мне нужно купить новые батарейки для пульта от телевизора.,батарея,Батарея в моєму ноутбуці швидко розряджається.,Мені потрібно купити нові батарейки для пульта від телевізора.
484,484,wiadomość,сообщение,noun,Dostałem ważną wiadomość e-mail od pracodawcy.,Я получил важное электронное сообщение от работодателя.,Proszę zostawić wiadomość po sygnale.,"Пожалуйста, оставьте сообщение после сигнала.",повідомлення,Я отримав важливе електронне повідомлення від роботодавця.,"Будь ласка, залиште повідомлення після сигналу."
485,485,połączenie telefoniczne,телефонный звонок,noun,Czekam na ważne połączenie telefoniczne z urzędu.,Я жду важный телефонный звонок из учреждения.,"Mam problem z połączeniem telefonicznym podczas rozmowy z bankiem.","У меня проблема с телефонной связью во время разговора с банком.",телефонний дзвінок,Я чекаю на важливий телефонний дзвінок з установи.,"У мене проблема з телефонним зв'язком під час розмови з банком."
486,486,usługa,услуга,noun,Ile kosztuje ta usługa kurierska?,Сколько стоит эта курьерская услуга?,Jesteśmy zadowoleni z jakości świadczonych usług.,Мы довольны качеством предоставляемых услуг.,послуга,Скільки коштує ця кур'єрська послуга?,Ми задоволені якістю наданих послуг.
487,487,serwis,сервис,noun,"Czy ten laptop jest jeszcze na gwarancji, czy muszę płacić za serwis?","Этот ноутбук еще на гарантии, или мне придется платить за сервис?",Zadowolenie klienta zależy od jakości produktu i profesjonalnego serwisu.,Удовлетворенность клиента зависит от качества продукта и профессионального сервиса.,сервіс,"Цей ноутбук ще на гарантії, чи мені доведеться платити за сервіс?",Задоволення клієнта залежить від якості продукту та професійного сервісу.
488,488,zgłoszenie awarii,сообщение о неисправности,noun,Proszę wypełnić zgłoszenie awarii na naszej stronie internetowej.,"Пожалуйста, заполните сообщение об аварии на нашем сайте.",Po zgłoszeniu awarii technik powinien przyjechać w ciągu 24 godzin.,После сообщения о неисправности техник должен приехать в течение 24 часов.,повідомлення про несправність,"Будь ласка, заповніть повідомлення про несправність на нашому сайті.",Після повідомлення про несправність технік повинен приїхати протягом 24 годин.
489,489,naprawa gwarancyjna,гарантийный ремонт,noun,Czy mogę oddać ten telefon do naprawy gwarancyjnej bez paragonu?,Могу ли я сдать этот телефон в гарантийный ремонт без чека?,Producent zapewnia bezpłatną naprawę gwarancyjną przez dwa lata.,Производитель предоставляет бесплатный гарантийный ремонт в течение двух лет.,гарантійний ремонт,Чи можу я здати цей телефон у гарантійний ремонт без чека?,Виробник надає безкоштовний гарантійний ремонт протягом двох років.
490,490,rachunek za media,счёт за коммунальные услуги,noun,"Zapomniałem zapłacić rachunek za media, czy naliczą mi odsetki?","Я забыл оплатить счет за коммунальные услуги, начислят ли мне проценты?","Co miesiąc dostaję rachunek za media, który obejmuje wodę, prąd i ogrzewanie.","Каждый месяц я получаю счет за коммунальные услуги, который включает воду, электричество и отопление.",рахунок за комунальні послуги,"Я забув сплатити рахунок за комунальні послуги, чи нарахують мені відсотки?","Щомісяця я отримую рахунок за комунальні послуги, який включає воду, електроенергію та опалення."
491,491,dostawca,поставщик,noun,"Musimy znaleźć nowego dostawcę internetu, bo obecny jest za drogi.","Нам нужно найти нового поставщика интернета, потому что нынешний слишком дорогой.",Nasz dostawca energii elektrycznej ogłosił podwyżkę cen od przyszłego miesiąca.,Наш поставщик электроэнергии объявил о повышении цен со следующего месяца.,постачальник,"Нам потрібно знайти нового постачальника інтернету, тому що нинішній занадто дорогий.",Наш постачальник електроенергії оголосив про підвищення цін з наступного місяця.
492,492,porozumienie stron,соглашение сторон,noun,Umowa została rozwiązana za porozumieniem stron.,Договор был расторгнут по соглашению сторон.,Osiągnęliśmy porozumienie stron w sprawie podziału kosztów remontu.,Мы достигли соглашения сторон по вопросу распределения затрат на ремонт.,угода сторін,Договір було розірвано за згодою сторін.,Ми досягли угоди сторін щодо розподілу витрат на ремонт.
493,493,wypowiedzenie,расторжение договора,noun,"Dostałem wypowiedzenie umowy o pracę, więc muszę szukać nowej pracy.","Я получил расторжение трудового договора, поэтому мне нужно искать новую работу.","Muszę złożyć wypowiedzenie najmu mieszkania, bo zmieniam miasto.","Мне нужно подать заявление о расторжении договора аренды квартиры, потому что я меняю город.",розірвання договору,"Я отримав розірвання трудового договору, тому мені потрібно шукати нову роботу.","Мені потрібно подати заяву про розірвання договору оренди квартири, бо я змінюю місто."
494,494,abonament,абонемент,noun,Mój abonament telefoniczny kosztuje 50 złotych miesięcznie.,Мой телефонный абонемент стоит 50 злотых в месяц.,Kupiłem abonament miesięczny na siłownię.,Я купил месячный абонемент в спортзал.,абонемент,Мій телефонний абонемент коштує 50 злотих на місяць.,Я купив місячний абонемент у спортзал.
495,495,komunikować się,общаться,verb,W pracy muszę często komunikować się z klientami.,На работе мне часто приходится общаться с клиентами.,"Ważne jest, aby skutecznie komunikować się z lekarzem.",Важно эффективно общаться с врачом.,спілкуватися,На роботі мені часто доводиться спілкуватися з клієнтами.,Важливо ефективно спілкуватися з лікарем.
496,496,odpowiadać,отвечать,verb,Proszę odpowiadać na pytania egzaminacyjne pełnymi zdaniami.,"Пожалуйста, отвечайте на экзаменационные вопросы полными предложениями.",Kto odpowiada za bezpieczeństwo w miejscu pracy?,Кто отвечает за безопасность на рабочем месте?,відповідати,"Будь ласка, відповідайте на екзаменаційні питання повними реченнями.",Хто відповідає за безпеку на робочому місці?
497,497,rozwiązać problem,решить проблему,verb,"Musimy szybko rozwiązać ten problem techniczny, żeby produkcja ruszyła.","Мы должны быстро решить эту техническую проблему, чтобы производство запустилось.",Czy udało ci się rozwiązać problem z zepsutą pralką?,Удалось ли тебе решить проблему со сломанной стиральной машиной?,вирішити проблему,"Ми повинні швидко вирішити цю технічну проблему, щоб виробництво запустилося.",Чи вдалося тобі вирішити проблему зі зламаною пральною машиною?
498,498,działać,"работать, функционировать",verb,"Mój komputer przestał działać, chyba potrzebuję serwisu.","Мой компьютер перестал работать, кажется, мне нужен сервис.",Nowy system rezerwacji biletów działa bardzo sprawnie.,Новая система бронирования билетов работает очень эффективно.,працювати,"Мій комп'ютер перестав працювати, здається, мені потрібен сервіс.",Нова система бронювання квитків працює дуже ефективно.
499,499,przestać działać,перестать работать,verb,Mój laptop nagle przestał działać podczas ważnej prezentacji.,Мой ноутбук внезапно перестал работать во время важной презентации.,"Bankomat na rogu przestał działać, muszę poszukać innego.","Банкомат на углу перестал работать, мне нужно найти другой.",перестати працювати,Мій ноутбук раптом перестав працювати під час важливої презентації.,"Банкомат на розі перестав працювати, мені потрібно знайти інший."
500,500,alternatywa,альтернатива,noun,"Nie mamy innej alternatywy, musimy złożyć ten wniosek.","У нас нет другой альтернативы, мы должны подать это заявление.",Czy jest jakaś alternatywa dla transportu publicznego?,Есть ли какая-нибудь альтернатива общественному транспорту?,альтернатива,"У нас немає іншої альтернативи, ми повинні подати цю заяву.",Чи є якась альтернатива громадському транспорту?
501,501,zespół,команда,noun,Nasz zespół pracuje nad nowym projektem.,Наша команда работает над новым проектом.,W zespole ważna jest dobra komunikacja.,В команде важна хорошая коммуникация.,команда,Наша команда працює над новим проєктом.,У команді важлива хороша комунікація.
502,502,partnerstwo,партнерство,noun,Nasza firma nawiązała nowe partnerstwo z lokalnym dostawcą.,Наша компания установила новое партнерство с местным поставщиком.,"Wierzę, że dobre partnerstwo to podstawa sukcesu.","Я верю, что хорошее партнерство – это основа успеха.",партнерство,Наша компанія встановила нове партнерство з місцевим постачальником.,"Я вірю, що гарне партнерство – це основа успіху."
503,503,partner,партнёр,noun,Firma znalazła nowego partnera biznesowego.,Компания нашла нового бизнес-партнёра.,Nasi partnerzy działają w wielu krajach.,Наши партнёры работают во многих странах.,партнер,Компанія знайшла нового бізнес-партнера.,Наші партнери працюють у багатьох країнах.
504,504,projekt,проект,noun,Projekt zostanie zakończony w przyszłym miesiącu.,Проект будет завершён в следующем месяце.,Pracuję obecnie nad kilkoma projektami.,Сейчас я работаю над несколькими проектами.,проєкт,Проєкт буде завершено наступного місяця.,Я зараз працюю над кількома проєктами.
505,505,zadanie,задача,noun,Muszę dziś wykonać kilka ważnych zadań.,Мне нужно сегодня выполнить несколько важных задач.,Każde zadanie ma określony termin.,У каждой задачи есть установленный срок.,завдання,Мені потрібно сьогодні виконати кілька важливих завдань.,Кожне завдання має визначений термін.
506,506,priorytet,приоритет,noun,Bezpieczeństwo pacjentów to nasz najwyższy priorytet.,Безопасность пациентов — наш наивысший приоритет.,W tym tygodniu moim priorytetem jest złożenie wniosku o kartę pobytu.,На этой неделе мой приоритет — подача заявления на вид на жительство.,пріоритет,Безпека пацієнтів — наш найвищий пріоритет.,Цього тижня мій пріоритет — подача заяви на карту побиту.
507,507,rachunkowość,бухгалтерский учет,noun,Potrzebujemy specjalisty od rachunkowości do naszej firmy.,Нам нужен специалист по бухгалтерскому учету для нашей компании.,Kurs rachunkowości pomoże mi znaleźć lepszą pracę.,Курс бухгалтерского учета поможет мне найти лучшую работу.,бухгалтерський облік,Нам потрібен спеціаліст з бухгалтерського обліку для нашої компанії.,Курс бухгалтерського обліку допоможе мені знайти кращу роботу.
508,508,spotkanie online,онлайн-встреча,noun,Mam dziś trzy spotkania online.,Сегодня у меня три онлайн-встречи.,Spotkanie online rozpocznie się za pięć minut.,Онлайн-встреча начнётся через пять минут.,онлайн-зустріч,У мене сьогодні три онлайн-зустрічі.,Онлайн-зустріч розпочнеться за п'ять хвилин.
509,509,uczestnictwo,участие,noun,W spotkaniu uczestniczyło dwadzieścia osób.,Во встрече участвовало двадцать человек.,Każdy uczestnik otrzymał materiały szkoleniowe.,Каждый участник получил учебные материалы.,участь,У зустрічі брали участь двадцять осіб.,Кожен учасник отримав навчальні матеріали.
510,510,prezentacja,презентация,noun,Przygotowuję prezentację dla zarządu.,Я готовлю презентацию для руководства.,Prezentacja trwała około pół godziny.,Презентация длилась около получаса.,презентація,Я готую презентацію для правління.,Презентація тривала близько пів години.
511,511,raport,отчёт,noun,Raport został wysłany do klienta.,Отчёт был отправлен клиенту.,Przygotowanie raportu zajęło cały dzień.,Подготовка отчёта заняла весь день.,звіт,Звіт було надіслано клієнту.,Підготовка звіту зайняла цілий день.
512,512,kandydatura,кандидатура,noun,Jego kandydatura na to stanowisko jest bardzo obiecująca.,Его кандидатура на эту должность очень многообещающая.,Musimy rozważyć wszystkie kandydatury przed podjęciem decyzji.,"Мы должны рассмотреть все кандидатуры, прежде чем принять решение.",кандидатура,Його кандидатура на цю посаду дуже багатообіцяюча.,"Ми повинні розглянути всі кандидатури, перш ніж прийняти рішення."
513,513,dane,данные,noun,Dane zostały zapisane w systemie.,Данные были сохранены в системе.,Musimy chronić dane klientów.,Мы должны защищать данные клиентов.,дані,Дані були збережені в системі.,Ми повинні захищати дані клієнтів.
514,514,informacja,информация,noun,Dziękuję za przekazaną informację.,Спасибо за предоставленную информацию.,Ta informacja okazała się bardzo pomocna.,Эта информация оказалась очень полезной.,інформація,Дякую за надану інформацію.,Ця інформація виявилася дуже корисною.
515,515,źródło,источник,noun,To wiarygodne źródło informacji.,Это надёжный источник информации.,Podaj źródło tych danych.,Укажи источник этих данных.,джерело,Це надійне джерело інформації.,Надайте джерело цих даних.
516,516,statystyka,статистика,noun,"Według statystyk, bezrobocie w Polsce spada.","Согласно статистике, безработица в Польше падает.",Muszę przygotować miesięczną statystykę sprzedaży dla szefa.,Мне нужно подготовить ежемесячную статистику продаж для начальника.,статистика,"Згідно зі статистикою, безробіття в Польщі падає.",Мені потрібно підготувати щомісячну статистику продажів для керівника.
517,517,produktywność,продуктивность,noun,Nowy system ma zwiększyć produktywność pracowników.,Новая система должна повысить продуктивность сотрудников.,Zauważyłem spadek produktywności po długich godzinach pracy.,Я заметил снижение продуктивности после долгих часов работы.,продуктивність,Нова система має збільшити продуктивність працівників.,Я помітив зниження продуктивності після довгих годин роботи.
518,518,rozwiązanie problemu,решение проблемы,noun,Znaleźliśmy rozwiązanie problemu.,Мы нашли решение проблемы.,Wdrożenie rozwiązania zajęło kilka dni.,Внедрение решения заняло несколько дней.,вирішення проблеми,Ми знайшли вирішення проблеми.,Впровадження рішення зайняло кілька днів.
519,519,błąd,ошибка,noun,W systemie pojawił się błąd.,В системе появилась ошибка.,Naprawiliśmy krytyczny błąd aplikacji.,Мы исправили критическую ошибку приложения.,помилка,У системі з'явилася помилка.,Ми виправили критичну помилку програми.
520,520,poprawka,исправление,noun,Nowa poprawka została już wdrożona.,Новое исправление уже внедрено.,Poprawka rozwiązała problem użytkowników.,Исправление решило проблему пользователей.,виправлення,Нове виправлення вже впроваджено.,Виправлення вирішило проблему користувачів.
521,521,test,тест,noun,Test zakończył się sukcesem.,Тест завершился успешно.,Przeprowadzamy test nowej funkcji.,Мы проводим тест новой функции.,тест,Тест завершився успіхом.,Ми проводимо тест нової функції.
522,522,sprawdzać,проверять,verb,Muszę sprawdzić wszystkie dane.,Мне нужно проверить все данные.,Sprawdzamy poprawność raportu.,Мы проверяем корректность отчёта.,перевіряти,Мені потрібно перевірити всі дані.,Ми перевіряємо правильність звіту.
523,523,potwierdzić,подтвердить,verb,Proszę potwierdzić otrzymanie wiadomości.,"Пожалуйста, подтвердите получение сообщения.",Klient potwierdził zamówienie.,Клиент подтвердил заказ.,підтвердити,"Будь ласка, підтвердьте отримання повідомлення.",Клієнт підтвердив замовлення.
524,524,przesłać,"отправить, переслать",verb,Przesłałem dokumenty e-mailem.,Я отправил документы по электронной почте.,Czy możesz przesłać mi raport?,Можешь переслать мне отчёт?,надіслати,Я надіслав документи електронною поштою.,Чи можеш ти надіслати мені звіт?
525,525,załączyć,приложить,verb,Załączyłem wszystkie potrzebne pliki.,Я приложил все необходимые файлы.,Proszę załączyć kopię dokumentu.,"Пожалуйста, приложите копию документа.",додати,Я додав усі потрібні файли.,"Будь ласка, додайте копію документа."
526,526,plik,файл,noun,Nie mogę otworzyć tego pliku.,Я не могу открыть этот файл.,Plik został zapisany na dysku.,Файл был сохранён на диске.,файл,Я не можу відкрити цей файл.,Файл було збережено на диску.
527,527,folder,папка,noun,Umieść dokument w odpowiednim folderze.,Помести документ в соответствующую папку.,Folder zawiera wszystkie potrzebne materiały.,Папка содержит все необходимые материалы.,папка,Помістіть документ у відповідну папку.,Папка містить усі потрібні матеріали.
528,528,wersja,версия,noun,To najnowsza wersja aplikacji.,Это последняя версия приложения.,Pracujemy nad nową wersją produktu.,Мы работаем над новой версией продукта.,версія,Це найновіша версія програми.,Ми працюємо над новою версією продукту.
529,529,funkcja,функция,noun,Ta funkcja ułatwia pracę użytkownikom.,Эта функция облегчает работу пользователей.,Nowa funkcja będzie dostępna wkrótce.,Новая функция будет доступна скоро.,функція,Ця функція полегшує роботу користувачам.,Нова функція буде доступна незабаром.
530,530,narzędzie,инструмент,noun,To narzędzie oszczędza dużo czasu.,Этот инструмент экономит много времени.,Korzystamy z różnych narzędzi do analizy danych.,Мы используем разные инструменты для анализа данных.,інструмент,Цей інструмент заощаджує багато часу.,Ми використовуємо різні інструменти для аналізу даних.
531,531,komunikacja,коммуникация,noun,Dobra komunikacja jest kluczem do sukcesu.,Хорошая коммуникация — ключ к успеху.,Musimy poprawić komunikację w zespole.,Нам нужно улучшить коммуникацию в команде.,комунікація,Добра комунікація є ключем до успіху.,Нам потрібно покращити комунікацію в команді.
532,532,negocjacje,переговоры,noun,Negocjacje w sprawie podwyżek płac trwają już trzeci tydzień.,Переговоры о повышении зарплаты продолжаются уже третью неделю.,"Mamy nadzieję, że negocjacje z właścicielem mieszkania zakończą się sukcesem.","Мы надеемся, что переговоры с владельцем квартиры завершатся успешно.",переговори,Переговори щодо підвищення зарплати тривають вже третій тиждень.,"Ми сподіваємося, що переговори з власником квартири завершаться успішно."
533,533,sugestia,предложение,noun,Dziękuję za tę sugestię.,Спасибо за это предложение.,Mam kilka sugestii dotyczących projektu.,У меня есть несколько предложений по проекту.,пропозиція,Дякую за цю пропозицію.,У мене є кілька пропозицій щодо проєкту.
534,534,inicjatywa,инициатива,noun,"Cenimy pracowników, którzy wykazują inicjatywę w rozwiązywaniu problemów.","Мы ценим сотрудников, которые проявляют инициативу в решении проблем.","To była dobra inicjatywa, żeby zorganizować spotkanie integracyjne dla nowych mieszkańców.",Это была хорошая инициатива — организовать интеграционную встречу для новых жильцов.,ініціатива,"Ми цінуємо працівників, які виявляють ініціативу у вирішенні проблем.",Це була гарна ініціатива — організувати інтеграційну зустріч для нових мешканців.
535,535,uzgodnienie,согласование,noun,Czekamy na ostateczne uzgodnienia.,Мы ждём окончательного согласования.,Proces uzgodnień trwał kilka dni.,Процесс согласования занял несколько дней.,узгодження,Ми чекаємо на остаточні узгодження.,Процес узгоджень тривав кілька днів.
536,536,delegować,делегировать,verb,Kierownik delegował część obowiązków zespołowi.,Руководитель делегировал часть обязанностей команде.,Nie wszystko trzeba delegować innym.,Не всё нужно делегировать другим.,делегувати,Керівник делегував частину обов'язків команді.,Не все потрібно делегувати іншим.
537,537,koordynować,координировать,verb,Koordynuję pracę kilku zespołów.,Я координирую работу нескольких команд.,Projekt wymaga dobrej koordynacji działań.,Проект требует хорошей координации действий.,координувати,Я координую роботу кількох команд.,Проєкт вимагає доброї координації дій.
538,538,monitorować,отслеживать,verb,Monitorujemy postęp projektu.,Мы отслеживаем прогресс проекта.,Firma monitoruje jakość usług.,Компания отслеживает качество услуг.,моніторити,Ми моніторимо прогрес проєкту.,Компанія моніторить якість послуг.
539,539,zarządzać,управлять,verb,Zarządza dużym zespołem programistów.,Он управляет большой командой разработчиков.,Trudno zarządzać kilkoma projektami jednocześnie.,Трудно управлять несколькими проектами одновременно.,керувати,Він керує великою командою програмістів.,Важко керувати кількома проєктами одночасно.
540,540,samodzielność,самостоятельность,noun,"Ważne jest, aby dzieci uczyły się samodzielności od najmłodszych lat.","Важно, чтобы дети учились самостоятельности с самых ранних лет.",Nowa praca wymaga dużej samodzielności i odpowiedzialności.,Новая работа требует большой самостоятельности и ответственности.,самостійність,"Важливо, щоб діти вчилися самостійності з наймолодших років.",Нова робота вимагає великої самостійності та відповідальності.
541,541,kierownik,руководитель,noun,Muszę porozmawiać z kierownikiem działu o moim urlopie.,Мне нужно поговорить с руководителем отдела о моем отпуске.,Nowy kierownik projektu wprowadził wiele zmian.,Новый руководитель проекта ввел много изменений.,керівник,Мені потрібно поговорити з керівником відділу про мою відпустку.,Новий керівник проєкту ввів багато змін.
542,542,bezrobocie,безработица,noun,W naszym regionie bezrobocie jest niestety wysokie.,"В нашем регионе безработица, к сожалению, высокая.",Urząd pracy pomaga osobom dotkniętym bezrobociem.,"Биржа труда помогает людям, пострадавшим от безработицы.",безробіття,"У нашому регіоні безробіття, на жаль, високе.","Центр зайнятості допомагає людям, які постраждали від безробіття."
543,543,etatowy,штатный,adjective,"Czy to jest stanowisko etatowe, czy na umowę zlecenie?",Это штатная должность или по договору подряда?,"Nasz dział ma tylko dwóch pracowników etatowych, reszta to freelancerzy.","В нашем отделе только два штатных сотрудника, остальные — фрилансеры.",штатний,Це штатна посада чи за договором доручення?,"У нашому відділі лише два штатних співробітники, решта — фрилансери."
544,544,rekruter,рекрутер,noun,Rekruter zadzwonił do mnie w sprawie mojej aplikacji na stanowisko.,Рекрутер позвонил мне по поводу моей заявки на должность.,Na targach pracy rozmawiałem z rekruterem z dużej firmy IT.,На ярмарке вакансий я разговаривал с рекрутером из крупной IT-компании.,рекрутер,Рекрутер зателефонував мені щодо моєї заявки на посаду.,На ярмарку вакансій я розмовляв з рекрутером з великої IT-компанії.
545,545,oferta pracy,вакансия,noun,Znalazłem bardzo interesującą ofertę pracy na portalu internetowym.,Я нашел очень интересную вакансию на интернет-портале.,Czy widziałeś nową ofertę pracy dla magazyniera w naszej firmie?,Ты видел новую вакансию для кладовщика в нашей компании?,вакансія,Я знайшов дуже цікаву вакансію на інтернет-порталі.,Ти бачив нову вакансію для комірника в нашій компанії?
546,546,pensja,зарплата,noun,Moja pensja jest wypłacana zawsze na czas.,Моя зарплата всегда выплачивается вовремя.,Czy w tej firmie pensja jest negocjowalna?,В этой компании зарплата обсуждаема?,зарплата,Моя зарплата завжди виплачується вчасно.,У цій компанії зарплата обговорювана?
